Date,Close,High,Low,Open,Volume,Ticker
2019-01-01 00:00:00,131.29,131.54,131.01,131.45,5346.36699,ETH-USD
2019-01-01 00:30:00,131.82,132.22,131.16,131.28,7331.59477,ETH-USD
2019-01-01 01:00:00,131.51,131.88,131.26,131.83,4538.4172,ETH-USD
2019-01-01 01:30:00,131.14,131.53,131.0,131.5,5003.42845,ETH-USD
2019-01-01 02:00:00,130.68,131.34,130.36,131.19,6475.65603,ETH-USD
2019-01-01 02:30:00,130.72,130.88,130.0,130.7,5563.38533,ETH-USD
2019-01-01 03:00:00,131.32,131.47,130.71,130.72,3736.26785,ETH-USD
2019-01-01 03:30:00,131.32,131.38,130.9,131.33,2584.03958,ETH-USD
2019-01-01 04:00:00,133.02,134.0,131.3,131.31,20435.75805,ETH-USD
2019-01-01 04:30:00,132.35,133.16,132.06,133.04,8778.8839,ETH-USD
2019-01-01 05:00:00,132.69,132.98,132.37,132.37,4967.77613,ETH-USD
2019-01-01 05:30:00,132.75,132.89,132.64,132.69,1770.88164,ETH-USD
2019-01-01 06:00:00,133.0,133.12,132.67,132.74,3040.74376,ETH-USD
2019-01-01 06:30:00,133.36,133.5,132.9,133.0,3163.54025,ETH-USD
2019-01-01 07:00:00,133.38,134.3,133.21,133.36,6310.03343,ETH-USD
2019-01-01 07:30:00,133.56,133.65,133.01,133.38,3904.91755,ETH-USD
2019-01-01 08:00:00,134.67,134.8,133.19,133.56,7451.33898,ETH-USD
2019-01-01 08:30:00,134.52,135.3,134.21,134.71,8890.86766,ETH-USD
2019-01-01 09:00:00,134.54,134.78,134.07,134.55,7933.78817,ETH-USD
2019-01-01 09:30:00,133.7,134.58,133.55,134.58,6961.56893,ETH-USD
2019-01-01 10:00:00,133.87,134.14,133.66,133.72,3603.51505,ETH-USD
2019-01-01 10:30:00,133.86,133.99,133.68,133.86,2784.58686,ETH-USD
2019-01-01 11:00:00,134.38,134.7,133.84,133.89,3670.75287,ETH-USD
2019-01-01 11:30:00,133.75,134.4,133.71,134.38,2980.60214,ETH-USD
2019-01-01 12:00:00,134.08,134.38,133.17,133.78,7331.54558,ETH-USD
2019-01-01 12:30:00,134.48,134.76,133.94,134.05,4087.1431,ETH-USD
2019-01-01 13:00:00,134.21,134.56,133.87,134.48,3949.70505,ETH-USD
2019-01-01 13:30:00,134.54,136.0,134.0,134.21,8684.67671,ETH-USD
2019-01-01 14:00:00,133.75,134.51,132.95,134.43,9566.33492,ETH-USD
2019-01-01 14:30:00,133.57,134.11,133.51,133.75,3778.02826,ETH-USD
2019-01-01 15:00:00,133.01,133.73,132.26,133.52,11292.54779,ETH-USD
2019-01-01 15:30:00,132.98,133.62,132.82,133.01,4431.20026,ETH-USD
2019-01-01 16:00:00,133.28,133.31,132.5,132.97,3631.7909,ETH-USD
2019-01-01 16:30:00,133.29,133.31,133.0,133.3,1915.78851,ETH-USD
2019-01-01 17:00:00,133.22,133.6,133.16,133.29,1912.7672,ETH-USD
2019-01-01 17:30:00,132.58,133.31,132.52,133.26,3359.18035,ETH-USD
2019-01-01 18:00:00,132.21,132.65,131.5,132.56,6669.93523,ETH-USD
2019-01-01 18:30:00,132.04,132.32,131.0,132.21,8119.68186,ETH-USD
2019-01-01 19:00:00,133.12,133.53,132.04,132.04,7750.85161,ETH-USD
2019-01-01 19:30:00,135.27,135.58,133.1,133.12,17802.60106,ETH-USD
2019-01-01 20:00:00,138.32,139.48,135.16,135.26,51543.49709,ETH-USD
2019-01-01 20:30:00,137.95,138.47,136.89,138.3,15512.3625,ETH-USD
2019-01-01 21:00:00,138.15,139.02,137.51,137.95,19637.29061,ETH-USD
2019-01-01 21:30:00,137.06,138.54,137.0,138.15,10090.52871,ETH-USD
2019-01-01 22:00:00,136.66,137.83,136.21,137.05,11103.23728,ETH-USD
2019-01-01 22:30:00,137.63,137.97,136.29,136.66,7482.19908,ETH-USD
2019-01-01 23:00:00,139.37,140.67,136.71,137.64,26388.208,ETH-USD
2019-01-01 23:30:00,139.1,139.78,137.5,139.37,18507.07474,ETH-USD
2019-01-02 00:00:00,138.9,140.0,138.22,139.1,19139.11157,ETH-USD
2019-01-02 00:30:00,138.92,139.77,138.07,138.79,14727.8671,ETH-USD
2019-01-02 01:00:00,138.83,140.0,138.38,138.92,9461.46694,ETH-USD
2019-01-02 01:30:00,138.04,139.08,137.76,138.83,6833.89006,ETH-USD
2019-01-02 02:00:00,138.57,138.62,137.79,138.02,6084.80278,ETH-USD
2019-01-02 02:30:00,138.59,138.75,138.18,138.57,5960.12043,ETH-USD
2019-01-02 03:00:00,139.0,139.28,138.46,138.59,6671.09116,ETH-USD
2019-01-02 03:30:00,138.67,139.02,138.02,139.0,4235.34638,ETH-USD
2019-01-02 04:00:00,138.92,138.95,138.3,138.66,4830.05757,ETH-USD
2019-01-02 04:30:00,139.18,139.58,138.76,138.92,5304.80879,ETH-USD
2019-01-02 05:00:00,138.82,139.21,138.75,139.19,2769.51818,ETH-USD
2019-01-02 05:30:00,138.91,139.18,138.77,138.82,3839.60051,ETH-USD
2019-01-02 06:00:00,139.04,139.31,138.91,138.91,3540.37667,ETH-USD
2019-01-02 06:30:00,138.99,139.17,138.3,139.04,10328.15625,ETH-USD
2019-01-02 07:00:00,142.37,143.0,138.96,138.99,35565.298,ETH-USD
2019-01-02 07:30:00,143.48,144.0,142.37,142.4,28704.65792,ETH-USD
2019-01-02 08:00:00,144.95,147.3,143.42,143.48,94337.07422,ETH-USD
2019-01-02 08:30:00,144.57,145.09,144.31,144.95,21336.27548,ETH-USD
2019-01-02 09:00:00,145.03,145.12,143.65,144.58,19239.55231,ETH-USD
2019-01-02 09:30:00,144.62,145.6,144.35,145.04,18632.49578,ETH-USD
2019-01-02 10:00:00,145.27,145.56,144.36,144.66,13738.98105,ETH-USD
2019-01-02 10:30:00,148.65,149.09,145.22,145.27,48413.27338,ETH-USD
2019-01-02 11:00:00,148.39,149.11,146.83,148.66,35114.4561,ETH-USD
2019-01-02 11:30:00,147.81,148.96,147.45,148.39,19569.63226,ETH-USD
2019-01-02 12:00:00,146.96,148.12,146.33,147.82,15759.69144,ETH-USD
2019-01-02 12:30:00,148.07,148.26,146.96,146.96,18029.52054,ETH-USD
2019-01-02 13:00:00,149.61,150.35,147.95,148.02,34845.93246,ETH-USD
2019-01-02 13:30:00,151.9,152.48,149.21,149.64,34293.5624,ETH-USD
2019-01-02 14:00:00,150.92,152.15,149.21,151.9,39806.1348,ETH-USD
2019-01-02 14:30:00,150.55,151.18,149.3,150.9,19828.4283,ETH-USD
2019-01-02 15:00:00,148.87,151.4,148.56,150.55,18206.99095,ETH-USD
2019-01-02 15:30:00,148.62,149.42,146.95,148.92,27509.84846,ETH-USD
2019-01-02 16:00:00,150.04,150.15,147.92,148.62,20906.18623,ETH-USD
2019-01-02 16:30:00,149.24,152.25,149.22,150.05,31450.29041,ETH-USD
2019-01-02 17:00:00,148.75,149.91,147.69,149.21,22530.6443,ETH-USD
2019-01-02 17:30:00,149.06,150.14,148.45,148.75,16365.26746,ETH-USD
2019-01-02 18:00:00,148.64,149.37,147.2,149.02,12558.05429,ETH-USD
2019-01-02 18:30:00,149.2,149.74,148.3,148.62,7223.6274,ETH-USD
2019-01-02 19:00:00,148.45,149.47,148.1,149.21,7358.05254,ETH-USD
2019-01-02 19:30:00,150.49,151.16,148.45,148.48,15671.46375,ETH-USD
2019-01-02 20:00:00,150.26,150.5,149.31,150.5,11113.90968,ETH-USD
2019-01-02 20:30:00,151.18,151.6,149.76,150.24,16926.48053,ETH-USD
2019-01-02 21:00:00,151.2,151.8,150.4,151.19,11620.79005,ETH-USD
2019-01-02 21:30:00,153.55,154.8,151.15,151.19,38042.56334,ETH-USD
2019-01-02 22:00:00,153.0,154.07,152.0,153.54,18361.40362,ETH-USD
2019-01-02 22:30:00,153.67,154.18,151.82,153.02,14623.02137,ETH-USD
2019-01-02 23:00:00,153.75,155.37,152.7,153.67,32514.45325,ETH-USD
2019-01-02 23:30:00,152.01,154.26,151.19,153.73,17562.08678,ETH-USD
2019-01-03 00:00:00,150.01,152.8,149.41,152.01,22053.23911,ETH-USD
2019-01-03 00:30:00,149.4,152.0,148.67,150.04,18943.58186,ETH-USD
2019-01-03 01:00:00,149.8,150.71,149.26,149.4,11739.8426,ETH-USD
2019-01-03 01:30:00,150.89,151.3,149.55,149.8,10498.09034,ETH-USD
2019-01-03 02:00:00,151.43,152.21,150.84,150.88,10325.6714,ETH-USD
