Date,Ticker,Close,Volume,sma_14,sma_50,macd,macd_signal,rsi_14,daily_return,volatility_14d,volatility_30d,volume_ratio,target
2024-08-16 01:00:00,BNB-USD,517.3162231445312,0,522.175051007952,523.5524822998046,-1.6772846312208003,-1.0571449242452917,41.47907102088743,0.0007832023233702579,0.007790486553505367,0.005873855625345067,0.0,0.0
2024-08-16 02:00:00,BNB-USD,518.0693969726562,9992192,521.6656385149274,523.3956280517579,-1.6904071264435743,-1.1837973646849482,40.85203161454556,0.0014559253980994669,0.007769204702560511,0.005884216971850006,1.2551952571385256,0.0
2024-08-16 03:00:00,BNB-USD,515.5546264648438,0,520.7622571672712,523.2340069580079,-1.8820328583502715,-1.323444463418013,33.57235838426875,-0.004854119008973701,0.007583339776405676,0.005937080634759718,0.0,0.0
2024-08-16 04:00:00,BNB-USD,518.7626953125,9423104,520.0569000244141,523.1157855224609,-1.7548049868589715,-1.4097165681062047,38.03506533898479,0.00622255854758591,0.007854114393784072,0.006058802819093781,1.0914270223103282,0.0
2024-08-16 05:00:00,BNB-USD,518.3787231445312,0,519.1298719133649,522.961275024414,-1.665757511347806,-1.4609247567545252,33.33153037549019,-0.000740169197666507,0.007636157247664038,0.006059268015021684,0.0,0.0
2024-08-16 06:00:00,BNB-USD,521.2396240234375,0,518.4591129847935,522.8304986572266,-1.3487879659907094,-1.4384973986017622,38.56614580238054,0.005518939630762221,0.007879741428621238,0.00609456179862315,0.0,0.0
2024-08-16 07:00:00,BNB-USD,523.9046020507812,1500544,518.0818634033203,522.7777911376953,-0.8724883602847058,-1.3252955909383508,43.75500676225356,0.00511276945289163,0.008043350456547539,0.006087294421929053,0.17876538799197456,0.0
2024-08-16 08:00:00,BNB-USD,523.0731811523438,0,518.3870915004185,522.6995355224609,-0.5557004404727195,-1.1713765608452247,56.527718444420216,-0.001586970023135792,0.0059476245466275465,0.006071542617341987,0.0,0.0
2024-08-16 09:00:00,BNB-USD,523.6161499023438,0,519.0863451276507,522.6349603271484,-0.25785826181117955,-0.9886729010384158,67.29558592164841,0.001038035918423219,0.005175237855176879,0.006069050270235022,0.0,0.0
2024-08-16 10:00:00,BNB-USD,522.5587768554688,0,519.8669084821429,522.5432000732421,-0.1059164188862951,-0.8121216046079917,70.11584647706182,-0.0020193667576375862,0.005019176449042283,0.006079275530903897,0.0,0.0
2024-08-16 11:00:00,BNB-USD,519.9320678710938,0,519.959206717355,522.3892108154297,-0.19520467838083277,-0.6887382193625599,52.83619436828501,-0.00502662877500859,0.003893397286696059,0.006082650671582115,0.0,0.0
2024-08-16 12:00:00,BNB-USD,513.5997924804688,0,519.4848284040179,522.0743280029296,-0.7680740903039123,-0.7046053935508304,37.92981808103467,-0.012179043728833716,0.004998874696906155,0.006388502013159911,0.0,0.0
2024-08-16 13:00:00,BNB-USD,515.751953125,23043968,519.190656389509,521.7907501220703,-1.0364680899356244,-0.7709779328277893,42.97022480391653,0.0041903456271608075,0.005181837128245065,0.006427946581134186,6.663284486473481,0.0
2024-08-16 14:00:00,BNB-USD,515.4927368164062,6332032,519.0893249511719,521.5401983642578,-1.2556149109600483,-0.8679053284542412,47.33266464800772,-0.0005025987919641262,0.004967325872551059,0.0063478716040463535,1.7626805461880093,0.0
2024-08-16 15:00:00,BNB-USD,515.0817260742188,0,518.9297180175781,521.4361541748046,-1.4457893181371446,-0.983482126390822,45.799659451155485,-0.0007973162623509111,0.004961590755547193,0.0063484076073668,0.0,0.0
2024-08-16 16:00:00,BNB-USD,517.7879028320312,9373440,518.9096112932477,521.3281402587891,-1.3624327810500745,-1.0592722573226725,49.50705005738457,0.005253878405739654,0.0051645268748409705,0.006428355599463572,2.641836158847221,0.0
2024-08-16 17:00:00,BNB-USD,518.5352783203125,3427584,519.1225149972098,521.1836102294922,-1.2219789562778942,-1.0918135971137168,55.5641134613262,0.0014434008291686062,0.0049827482664082925,0.006291166776393587,0.9036830268362703,0.0
2024-08-16 18:00:00,BNB-USD,521.6130981445312,0,519.3261151994977,521.1440618896485,-0.852487011219182,-1.0439482799348099,55.34697332823012,0.005935603521883159,0.004957584860997793,0.006378914116648817,0.0,0.0
2024-08-16 19:00:00,BNB-USD,522.606689453125,0,519.6281127929688,521.1169610595703,-0.4740232232514927,-0.9299632685981465,57.75375926363895,0.0019048434790616131,0.004961070138283011,0.0062943195029462615,0.0,0.0
2024-08-16 20:00:00,BNB-USD,522.2445678710938,0,519.6998944963727,521.0791790771484,-0.2009912281312154,-0.7841688605047603,52.028943687577936,-0.0006929141730087629,0.0047602278277183215,0.006290767799715931,0.0,0.0
2024-08-16 21:00:00,BNB-USD,520.3133544921875,0,519.443376813616,520.9912640380859,-0.13884368123308377,-0.655103824650425,42.52802037493896,-0.003697909940506894,0.004634127484202957,0.006229554912664506,0.0,0.0
2024-08-16 22:00:00,BNB-USD,520.1181030273438,0,519.2322998046875,520.9028521728516,-0.10414593449149834,-0.5449122466186398,43.68445216374256,-0.00037525745429756174,0.004623188893677515,0.006228416740772397,0.0,0.0
2024-08-16 23:00:00,BNB-USD,519.9686279296875,149120,518.9717625209263,520.8279669189453,-0.0876981813362363,-0.45346943356215913,42.071214560142536,-0.00028738683923179575,0.0046051296588998725,0.006216315001739115,0.049323652067147894,0.0
2024-08-17 00:00:00,BNB-USD,521.4634399414062,807424,518.8935241699219,520.7735137939453,0.045431907470629085,-0.3536891653556015,47.663451594850244,0.0028748119240780134,0.004665414253288134,0.0050933610064973584,0.26206818782067826,0.0
2024-08-17 01:00:00,BNB-USD,521.650390625,493952,519.0162615094866,520.726215209961,0.16413181041252756,-0.2501249702019757,54.09135163736246,0.00035851158350586054,0.004448458596464537,0.004747474548300276,0.15850839103391615,0.0
2024-08-17 02:00:00,BNB-USD,521.6865234375,0,519.5938851492746,520.6342169189453,0.25814225148758396,-0.1484715258640638,77.49969897020506,6.926633843162833e-05,0.0026633440930716144,0.004661884924004916,0.0,1.0
2024-08-17 03:00:00,BNB-USD,521.6522827148438,0,520.0153372628348,520.6004937744141,0.32612390976498773,-0.05355243873825351,73.44119022475547,-6.56346697066601e-05,0.0025252183959899497,0.003958554147412864,0.0,0.0
2024-08-17 04:00:00,BNB-USD,523.4661254882812,1529088,520.5848650251116,520.6324493408204,0.5203633913702106,0.06123072728343931,78.19441439143642,0.0034771107757789466,0.002588592062850161,0.0039689821558654545,1.3565530554969734,1.0
2024-08-17 05:00:00,BNB-USD,523.0556640625,0,521.1544320242746,520.6413507080078,0.6338718926639331,0.17575896035953806,78.19745223435702,-0.0007841222302558126,0.002587850437476689,0.003969579096316104,0.0,1.0
